Date,Harga Asli,Harga Prediksi,Selisih (Rp),Error (%)
2024-08-06,9589.951171875,9735.389607600166,-145.43843572516562,1.516571180797054
2024-08-07,9685.8505859375,9697.149114889027,-11.29852895152726,0.1166498373197202
2024-08-08,9805.7255859375,9663.396533762421,142.3290521750787,1.4514892439902087
2024-08-09,9733.7998046875,9651.992013973617,81.80779071388315,0.840450721767331
2024-08-12,9781.75,9722.160855796785,59.589144203215255,0.6091869471537839
2024-08-13,9877.6494140625,9785.434463985977,92.21495007652265,0.9335718065194654
2024-08-14,9781.75,9804.47197320806,-22.721973208059353,0.2322894493118241
2024-08-15,9805.7255859375,9802.781191815575,2.944394121925143,0.030027294728171176
2024-08-16,9901.625,9839.829015650172,61.79598434982836,0.624099421557859
2024-08-19,9949.57421875,9876.284967567837,73.28925118216284,0.7366069097112623
2024-08-20,9997.5234375,9901.934766214828,95.58867128517159,0.9561235028129593
2024-08-21,9997.5234375,9948.698296904797,48.825140595203266,0.4883723544179315
2024-08-22,9901.625,9970.052304968292,-68.42730496829245,0.6910714652220463
2024-08-23,9901.625,9970.046296285276,-68.42129628527618,0.6910107814149312
2024-08-26,9901.625,9958.520153820722,-56.895153820722044,0.5746042070945128
2024-08-27,9781.75,9909.178957288128,-127.428957288128,1.3027214689409155
2024-08-28,9925.5986328125,9892.371573440258,33.227059372242365,0.33476126328943856
2024-08-29,9805.7255859375,9871.541256194221,-65.8156702567212,0.6711963299391958
2024-08-30,9901.625,9870.479450369385,31.145549630615278,0.3145498807581107
2024-09-02,9853.6748046875,9855.433932200442,-1.7591275129416317,0.01785250221678511
2024-09-03,9757.775390625,9848.766915963159,-90.99152533815868,0.932502765185401
2024-09-04,9877.6494140625,9836.52279711507,41.126616947429284,0.4163603629106193
2024-09-05,9829.69921875,9841.664579383447,-11.965360633446835,0.12172662018613035
2024-09-06,9877.6494140625,9835.104133001965,42.54528106053476,0.43072272842529097
2024-09-09,9853.6748046875,9834.578311396217,19.096493291282968,0.19380072581853988
2024-09-10,9925.5986328125,9872.50253830327,53.09609450923017,0.5349409791133671
2024-09-11,9997.5234375,9898.244043904087,99.27939359591255,0.9930398684890561
2024-09-12,10045.4736328125,9945.840745761434,99.63288705106606,0.9918187105247636
2024-09-13,9997.5234375,9972.460862753614,25.062574746385508,0.25068783187221716
2024-09-17,10069.44921875,10020.931994324164,48.51722442583559,0.4818260003287292
2024-09-18,10189.3232421875,10079.972025407147,109.35121678035284,1.0731941089826171
2024-09-19,10453.046875,10181.60320284159,271.44367215840975,2.596789963772259
2024-09-20,10333.171875,10244.30805205683,88.86382294317082,0.8599859173751605
2024-09-23,10500.9970703125,10355.265692746372,145.73137756612778,1.387786098694635
2024-09-24,10357.146484375,10418.049042472794,-60.9025580977941,0.5880244929399514
2024-09-25,10405.09765625,10462.646535406817,-57.54887915681684,0.5530835082768216
2024-09-26,10261.248046875,10416.595345968544,-155.34729909354428,1.5139220724798124
2024-09-27,10213.2978515625,10386.14000423222,-172.84215266972024,1.6923246064274693
2024-09-30,9901.625,10250.282192692834,-348.65719269283363,3.521211848487835
2024-10-01,10117.3984375,10194.063711191815,-76.66527369181495,0.7577567905960504
2024-10-02,10069.44921875,10115.107388545413,-45.658169795413414,0.45343264366828323
2024-10-03,10021.4990234375,10059.245238245087,-37.74621480758651,0.3766523822365158
2024-10-04,10045.4736328125,10019.352126580936,26.121506231564126,0.26003259962020037
2024-10-07,9877.6494140625,10014.151504859059,-136.50209079655906,1.3819288888935997
2024-10-08,9973.548828125,9980.521560567126,-6.972732442125562,0.06991225051671418
2024-10-09,9997.5234375,9963.544184636972,33.979252863027796,0.33987670121956437
2024-10-10,10069.44921875,9973.984125997642,95.46509275235803,0.9480666785090442
2024-10-11,9949.57421875,9952.875467313057,-3.3012485630570154,0.03317979735088365
2024-10-14,10069.44921875,9996.282072184942,73.16714656505792,0.7266251110221174
2024-10-15,10189.3232421875,10044.788762940905,144.53447924659486,1.418489489548919
2024-10-16,10045.4736328125,10056.815461340619,-11.34182852811864,0.11290486583999118
2024-10-17,10285.22265625,10107.193746056862,178.02891019313756,1.7309193601652864
2024-10-18,10309.1962890625,10189.390805490057,119.80548357244334,1.1621224411019362
2024-10-21,10237.2734375,10229.363032665118,7.910404834881774,0.07727062174490026
2024-10-22,10069.44921875,10204.098819660689,-134.6496009106886,1.3372091957121337
2024-10-23,10213.2978515625,10243.980391761434,-30.682540198933566,0.3004175599778434
2024-10-24,10261.248046875,10238.359803916755,22.88824295824452,0.2230551571669198
2024-10-25,10309.1962890625,10237.6731727863,71.52311627619929,0.6937797503388451
2024-10-28,10165.34765625,10218.604712663313,-53.25705641331297,0.5239078702888113
2024-10-29,10069.44921875,10218.563321571775,-149.1141028217753,1.480856594858383
2024-10-30,9925.5986328125,10154.071070499547,-228.4724376870472,2.301850458991486
2024-10-31,9829.69921875,10056.94070375045,-227.24148500044976,2.31178472447041
2024-11-01,9997.5234375,9986.41677374686,11.10666375314031,0.11109415069216046
2024-11-04,9949.57421875,9936.3529636098,13.22125514020081,0.13288262240695004
2024-11-05,10069.44921875,9935.724130323484,133.72508842651587,1.328027834705305
2024-11-06,10021.4990234375,9957.480135412992,64.01888802450776,0.6388154893273489
2024-11-07,9757.775390625,9943.871501320904,-186.09611069590392,1.907157146440365
2024-11-08,9661.8759765625,9869.218032329205,-207.34205576670502,2.1459813422328065
2024-11-11,9637.9013671875,9800.912363081618,-163.0109958941175,1.6913536431187493
2024-11-12,9733.7998046875,9727.436657084138,6.3631476033624494,0.06537167119769766
2024-11-13,9733.7998046875,9663.792224266941,70.00758042055895,0.719221494434737
2024-11-14,9685.8505859375,9650.882778258692,34.96780767880773,0.361019482683081
2024-11-15,9757.775390625,9676.79118111889,80.98420950611035,0.8299454154675227
2024-11-18,9589.951171875,9670.647257656736,-80.69608578173575,0.8414650328814789
2024-11-19,9518.0263671875,9625.102329428351,-107.07596224085137,1.1249807272018668
2024-11-20,9661.8759765625,9612.623809396831,49.25216716566865,0.5097578077502044
2024-11-21,9493.21484375,9574.236176573173,-81.021332823173,0.8534657032071133
2024-11-22,9493.21484375,9519.541787633701,-26.32694388370146,0.2773237972280191
2024-11-25,9806.4423828125,9572.717685497955,233.72469731454476,2.3833790909146426
2024-11-26,9637.78125,9603.296433907923,34.48481609207738,0.3578086615327296
2024-11-28,9637.78125,9599.695016015201,38.08623398479904,0.3951763688846853
2024-11-29,9637.78125,9634.008421531365,3.7728284686345432,0.03914623470660888
2024-12-02,9396.8369140625,9616.419065465383,-219.58215140288303,2.336766652555981
2024-12-03,9830.537109375,9624.617505069182,205.9196043058182,2.094693321583016
2024-12-04,9830.537109375,9670.217658942343,160.3194504326566,1.6308310385173785
2024-12-05,9878.7255859375,9726.272895699338,152.45269023816218,1.5432424851964777
2024-12-06,9710.0654296875,9742.825191855976,-32.7597621684763,0.33737941732417975
2024-12-09,9975.103515625,9873.106838496005,101.99667712899463,1.022512467857873
2024-12-10,9975.103515625,9903.719047441762,71.38446818323791,0.7156263398311736
2024-12-11,10047.38671875,9950.991917953026,96.39480079697387,0.9594017180316753
2024-12-12,9806.4423828125,9934.414241539896,-127.97185872739647,1.3049774192493035
2024-12-13,9685.970703125,9929.001331907191,-243.03062878219134,2.5090993585576506
2024-12-16,9734.1591796875,9874.119502611298,-139.96032292379823,1.4378265275942552
2024-12-17,9541.404296875,9775.47803141567,-234.07373454067056,2.4532419679284985
2024-12-18,9445.025390625,9638.454400585673,-193.42900996067328,2.0479458970292255
2024-12-19,9324.5537109375,9530.711929242982,-206.15821830548157,2.210917805789058
2024-12-20,9300.458984375,9443.852824327976,-143.39383995297612,1.541793154444112
2024-12-23,9420.9306640625,9372.95439093516,47.97627312734039,0.5092519501321967
2024-12-24,9396.8369140625,9342.00684343803,54.830070624469954,0.5834949688486769
2024-12-27,9445.025390625,9343.218290734163,101.80709989083698,1.0778912250663644
2024-12-30,9324.5537109375,9345.543685720771,-20.989974783271464,0.22510433672177443
2025-01-02,9541.404296875,9401.691532013734,139.7127648612659,1.464278847370765
2025-01-03,9493.21484375,9417.065528867297,76.14931488270304,0.8021446489524787
2025-01-06,9324.5537109375,9402.513490443813,-77.95977950631277,0.8360698208523121
2025-01-07,9179.986328125,9346.740276180848,-166.753948055848,1.8164945142124986
2025-01-08,9324.5537109375,9350.938870923554,-26.385159986053623,0.2829643198376819
2025-01-09,9493.21484375,9341.622344536147,151.59249921385344,1.5968510321206588
2025-01-10,9372.7421875,9317.700602947654,55.04158455234574,0.587251665001009
2025-01-13,9324.5537109375,9322.313836684767,2.2398742527329887,0.024021248867982438
2025-01-14,9179.986328125,9328.484806842978,-148.4984787179783,1.6176328962824165
2025-01-15,9445.025390625,9359.107379024179,85.91801160082105,0.9096641676167654
2025-01-16,9396.8369140625,9339.057145085426,57.77976897707413,0.6148853013571608
2025-01-17,9541.404296875,9379.156204068233,162.2480928067671,1.7004634512752654
2025-01-20,9276.3642578125,9370.343102132887,-93.978844320387,1.0130999787038177
2025-01-21,9228.17578125,9382.835003534765,-154.65922228476484,1.675945776834948
2025-01-22,9252.2705078125,9339.209434460485,-86.93892664798477,0.9396496413996397
2025-01-23,9252.2705078125,9306.529424411314,-54.25891659881381,0.5864389346701252
2025-01-24,9011.3251953125,9188.729097683336,-177.40390237083557,1.9686771759509614
2025-01-30,8818.5693359375,9088.565727988975,-269.9963920514747,3.0616802087293613
2025-01-31,9107.7041015625,9064.33397390994,43.37012765256077,0.4761916633317092
2025-02-03,9011.3251953125,9011.497317849105,-0.17212253660545684,0.0019100690839011262
2025-02-04,8842.6640625,8922.610192841785,-79.94613034178474,0.9040955279622185
2025-02-05,8794.4755859375,8878.046226112074,-83.57064017457378,0.9502629162812675
2025-02-06,8625.814453125,8839.015215467574,-213.2007623425743,2.4716594995309102
2025-02-07,9011.3251953125,8819.59135590148,191.7338394110193,2.127698593218622
2025-02-10,8818.5693359375,8779.21571523611,39.353620701389445,0.44625856193039476
2025-02-11,8746.287109375,8762.230010352141,-15.942900977141107,0.18228193035250553
2025-02-12,8818.5693359375,8771.69927539221,46.87006054529047,0.531492793896684
2025-02-13,8674.0029296875,8787.435297056465,-113.43236736896506,1.307728026938212
2025-02-14,8649.9091796875,8708.55587685038,-58.64669716287972,0.6780036176633993
2025-02-17,8987.23046875,8750.79617738559,236.43429136441046,2.6307803297860146
2025-02-18,8963.13671875,8803.396485229881,159.74023352011864,1.782191196369434
2025-02-19,8625.814453125,8766.367022135786,-140.5525690107861,1.6294411359598173
2025-02-20,8674.0029296875,8770.357602948927,-96.3546732614268,1.1108443707304372
2025-02-21,8674.0029296875,8779.79762032933,-105.79469064182922,1.219675523508737
2025-02-24,8601.7197265625,8696.36640377577,-94.64667721326987,1.1003227287329143
2025-02-25,8505.3427734375,8597.140572207358,-91.79779876985776,1.0792956993637657
2025-02-26,8457.1533203125,8562.243340436784,-105.09002012428391,1.242616943834722
2025-02-27,8216.2080078125,8462.157148283517,-245.94914047101702,2.993462923980901
2025-02-28,8119.8310546875,8341.750281509456,-221.91922682195582,2.733052268296198
2025-03-03,8481.248046875,8319.45007752545,161.79796934955084,1.9077141530976318
2025-03-04,8529.4365234375,8327.052769342503,202.38375409499713,2.372768160462647
2025-03-05,8674.0029296875,8377.611152813926,296.3917768735737,3.41701264429077
2025-03-06,8649.9091796875,8476.282607675814,173.62657201168622,2.007264682262929
2025-03-07,8601.7197265625,8587.958792814254,13.760933748246316,0.15997886685091506
2025-03-10,8601.7197265625,8616.74909986127,-15.029373298770224,0.1747252151492316
2025-03-11,8601.7197265625,8634.247733208493,-32.52800664599272,0.3781570160388365
2025-03-12,8794.4755859375,8662.23427484194,132.24131109556038,1.5036861470968916
2025-03-13,8649.9091796875,8662.406332578874,-12.497152891373844,0.14447727290271198
2025-03-14,8433.05859375,8625.817758388897,-192.75916463889735,2.285756259084422
2025-03-17,8288.4921875,8558.221861478858,-269.72967397885805,3.254267095596005
2025-03-18,7999.3583984375,8428.119907040244,-428.76150860274356,5.359948726469022
2025-03-19,8023.45263671875,8255.578402439216,-232.125765720466,2.8930907457240944
2025-03-20,8071.64208984375,8127.791061914403,-56.148972070653144,0.6956325794140863
2025-03-21,7848.119140625,8000.442057459146,-152.32291683414587,1.940884358465732
2025-03-24,7897.791015625,7916.278160774634,-18.48714514963376,0.23407994859649703
2025-03-25,7997.13427734375,7919.514406672701,77.61987067104928,0.9705960657800877
2025-03-26,8469.0146484375,8023.392029071743,445.6226193657567,5.261800077863513
2025-03-27,8444.1787109375,8106.376212575737,337.80249836176336,4.000418630697827
2025-04-08,7723.93994140625,8084.360803454703,-360.4208620484533,4.666282555050961
2025-04-09,7872.955078125,8082.2217752346805,-209.26669710968054,2.658045105466534
2025-04-10,8170.98486328125,8125.178121718692,45.80674156255827,0.5606024528133015
2025-04-11,8220.65625,8071.544671205868,149.11157879413167,1.8138646631055966
2025-04-14,8344.8359375,8051.14829028747,293.68764721252955,3.519393903153408
2025-04-15,8518.6865234375,8233.44199670542,285.24452673208,3.3484566657933175
2025-04-16,8419.3427734375,8359.581413922086,59.76135951541437,0.7098102681358659
2025-04-17,8444.1787109375,8423.099609340868,21.079101596631517,0.24962879538928243
2025-04-21,8245.4921875,8432.6269923096,-187.1348048096006,2.2695407448604854
2025-04-22,8444.1787109375,8456.97237426772,-12.793663330219715,0.15150867559977685
2025-04-23,8667.701171875,8489.346973411702,178.3541984632975,2.057687441302454
2025-04-24,8419.3427734375,8488.657248209653,-69.31447477215261,0.8232765506452052
2025-04-25,8543.5224609375,8506.94712313715,36.5753378003501,0.4281060647710476
2025-04-28,8717.373046875,8609.906113099452,107.46693377554766,1.2327903509196771
2025-04-29,8667.701171875,8656.766178660651,10.934993214348651,0.12615793966029393
2025-04-30,8767.044921875,8672.479730512729,94.56519136227143,1.078643855540401
2025-05-02,8916.0595703125,8778.746078642875,137.31349166962536,1.5400692490529495
2025-05-05,8916.0595703125,8857.303807580145,58.755762732354924,0.6589880010222452
